Team,Conference
 Bridgeport,CACC
 Jefferson,CACC
 Wilmington (DE),CACC
 Georgian Court,CACC
 Chestnut Hill,CACC
 Felician,CACC
 Holy Family,CACC
 Dominican (NY),CACC
 Post,CACC
 Bloomfield,CACC
 Caldwell,CACC
 Goldey-Beacom,CACC
 CSUSB,CCAA
 Cal Poly Pomona,CCAA
 Cal State LA,CCAA
 Sonoma St.,CCAA
 San Fran. St.,CCAA
 Cal St. East Bay,CCAA
 Cal St. San Marcos,CCAA
 Cal St. Dom. Hills,CCAA
 Cal St. Monterey Bay,CCAA
 Stanislaus St.,CCAA
 Chico St.,CCAA
 Cal Poly Humboldt,CCAA
 Shaw,CIAA
 Elizabeth City St.,CIAA
 Fayetteville St.,CIAA
 Saint Augustine's,CIAA
 Bluefield St.,CIAA
 Claflin,CIAA
 Winston-Salem,CIAA
 Virginia Union,CIAA
 Virginia St.,CIAA
 Johnson C. Smith,CIAA
 Livingstone,CIAA
 Bowie St.,CIAA
 Lincoln (PA),CIAA
 North Greenville,Conference Carolinas
 Emmanuel (GA),Conference Carolinas
 Mount Olive,Conference Carolinas
 UNC Pembroke,Conference Carolinas
 Lees-McRae,Conference Carolinas
 Francis Marion,Conference Carolinas
 King (TN),Conference Carolinas
 Young Harris,Conference Carolinas
 Barton,Conference Carolinas
 Converse,Conference Carolinas
 Erskine,Conference Carolinas
 Chowan,Conference Carolinas
 Belmont Abbey,Conference Carolinas
 Southern Wesleyan,Conference Carolinas
 Salem (WV),DII Independent
 Daemen,ECC
 Mercy,ECC
 Queens (NY),ECC
 Molloy,ECC
 Roberts Wesleyan,ECC
 D'Youville,ECC
 St. Thomas Aquinas,ECC
 Okla. Baptist,GAC
 Southwestern Okla.,GAC
 Henderson St.,GAC
 Harding,GAC
 Ouachita Baptist,GAC
 Southern Ark.,GAC
 Southern Nazarene,GAC
 East Central,GAC
 Southeastern Okla.,GAC
 Northwestern Okla.,GAC
 Arkansas Tech,GAC
 Ark.-Monticello,GAC
 Grand Valley St.,GLIAC
 Ferris St.,GLIAC
 Wis.-Parkside,GLIAC
 Michigan Tech,GLIAC
 Purdue Northwest,GLIAC
 Northern Mich.,GLIAC
 Davenport,GLIAC
 Wayne St. (MI),GLIAC
 Lake Superior St.,GLIAC
 Saginaw Valley,GLIAC
 Mo.-St. Louis,GLVC
 Quincy,GLVC
 Lewis,GLVC
 Rockhurst,GLVC
 UIndy,GLVC
 Missouri S&T,GLVC
 Maryville (MO),GLVC
 McKendree,GLVC
 Southwest Baptist,GLVC
 Truman St.,GLVC
 William Jewell,GLVC
 Upper Iowa,GLVC
 Ill. Springfield,GLVC
 Drury,GLVC
 Walsh,G-MAC
 Hillsdale,G-MAC
 Findlay,G-MAC
 Ashland,G-MAC
 Northwood,G-MAC
 Tiffin,G-MAC
 Ohio Dominican,G-MAC
 Cedarville,G-MAC
 Trevecca Nazarene,G-MAC
 Ky. Wesleyan,G-MAC
 Thomas More,G-MAC
 Malone,G-MAC
 Lake Erie,G-MAC
 Ursuline,G-MAC
 Seattle Pacific,Great Northwest
 Central Wash.,Great Northwest
 Simon Fraser,Great Northwest
 Saint Martin's,Great Northwest
 Alas. Anchorage,Great Northwest
 Western Wash.,Great Northwest
 Alas. Fairbanks,Great Northwest
 Northwest Nazarene,Great Northwest
 Western Ore.,Great Northwest
 Mont. St. Billings,Great Northwest
 West Florida,Gulf South
 AUM,Gulf South
 Alabama Huntsville,Gulf South
 Valdosta St.,Gulf South
 Lee,Gulf South
 West Ga.,Gulf South
 Mississippi Col.,Gulf South
 Montevallo,Gulf South
 Shorter,Gulf South
 Union (TN),Gulf South
 West Ala.,Gulf South
 Christian Brothers,Gulf South
 West Tex. A&M,Lone Star
 DBU,Lone Star
 Angelo St.,Lone Star
 Ark.-Fort Smith,Lone Star
 Texas Woman's,Lone Star
 Tex. A&M-Kingsville,Lone Star
 Lubbock Christian,Lone Star
 Tex. A&M Int'l,Lone Star
Tex. Permian Basin,Lone Star
 UT Tyler,Lone Star
 Okla. Christian,Lone Star
 St. Mary's (TX),Lone Star
 Eastern N.M.,Lone Star
 St. Edward's,Lone Star
 Western N.M.,Lone Star
 Cameron,Lone Star
 Midwestern St.,Lone Star
 West Virginia St.,MEC
 Wheeling,MEC
 Charleston (WV),MEC
 West Liberty,MEC
 Fairmont St.,MEC
 Concord,MEC
 Frostburg St.,MEC
 Notre Dame (OH),MEC
 Glenville St.,MEC
 West Va. Wesleyan,MEC
 Davis & Elkins,MEC
 Alderson Broaddus,MEC
 Central Okla.,Mid-America Intercollegiate
 Neb.-Kearney,Mid-America Intercollegiate
 Central Mo.,Mid-America Intercollegiate
 Missouri Western,Mid-America Intercollegiate
 Washburn,Mid-America Intercollegiate
 Northwest Mo. St.,Mid-America Intercollegiate
 Mo. Southern St.,Mid-America Intercollegiate
