Team,Conference
 Saint Vincent,AMCC
 Hiram,AMCC
 Penn St.-Altoona,AMCC
 Geneva,AMCC
 Thiel,AMCC
 Penn St.-Behrend,AMCC
 Mount Aloysius,AMCC
 Hilbert,AMCC
 Wells,AMCC
 Neumann,Atlantic East
 Immaculata,Atlantic East
 Loras,CCIW
 Carthage,CCIW
 Augustana (IL),CCIW
 North Central (IL),CCIW
 Ill. Wesleyan,CCIW
 North Park,CCIW
 Baruch,CUNYAC
 John Jay,CUNYAC
 Hunter,CUNYAC
 Brooklyn,CUNYAC
 Lehman,CUNYAC
 CCNY,CUNYAC
 York (NY),CUNYAC
 Medgar Evers,CUNYAC
 Southern Va.,CVC
 Juniata,CVC
 Marymount (VA),CVC
 Randolph-Macon,CVC
 East. Mennonite,CVC
 Rutgers-Newark,CVC
 Roanoke,CVC
 Elizabethtown,CVC
 Kean,CVC
 Cal Lutheran,DIII Independent
 Springfield,DIII Independent
 Wilkes,DIII Independent
 UC Santa Cruz,DIII Independent
 Wis.-Stevens Point,DIII Independent
 Drew,DIII Independent
 Buffalo St.,DIII Independent
 Va. Wesleyan,DIII Independent
 Chatham,DIII Independent
 Houghton,DIII Independent
 Maranatha Baptist,DIII Independent
 Averett,DIII Independent
 Simpson,DIII Independent
Warren Wilson,DIII Independent
 Bethany (WV),DIII Independent
 Wentworth,Great Northeast
 Emmanuel (MA),Great Northeast
 Lasell,Great Northeast
 Rivier,Great Northeast
 Regis (MA),Great Northeast
 Elms,Great Northeast
 Emerson,Great Northeast
 Dean,Great Northeast
 Trine,MCVL
 Wittenberg,MCVL
 Wabash,MCVL
 Adrian,MCVL
 Mount Union,MCVL
 Baldwin Wallace,MCVL
 Mt. St. Joseph,MCVL
 Fontbonne,MCVL
 Calvin,MCVL
 Olivet,MCVL
 Stevens,Middle Atlantic
 King's (PA),Middle Atlantic
 Misericordia,Middle Atlantic
 Messiah,Middle Atlantic
 Arcadia,Middle Atlantic
 Stevenson,Middle Atlantic
 Widener,Middle Atlantic
 Eastern,Middle Atlantic
 Hood,Middle Atlantic
 Dominican (IL),NACC
 Aurora,NACC
 Marian (WI),NACC
 Benedictine (IL),NACC
 MSOE,NACC
 Concordia Wisconsin,NACC
 IIT,NACC
 St. Norbert,NACC
 Edgewood,NACC
 Concordia Chicago,NACC
 Lakeland,NACC
 Wis. Lutheran,NACC
 Rockford,NACC
 Nichols,NEVC
 Eastern Nazarene,NEVC
 SUNY Potsdam,NEVC
 Endicott,NEVC
 SUNY Poly,NEVC
 Bard,NEVC
 Russell Sage,NEVC
 VTSU-Johnson,NEVC
 St. Joseph's (L.I.),Skyline
 New Jersey City,Skyline
 Ramapo,Skyline
 Purchase,Skyline
 UMSV,Skyline
 Manhattanville,Skyline
 Sarah Lawrence,Skyline
 St. Joseph's (Brkln),Skyline
 Old Westbury,Skyline
 Yeshiva,Skyline
 Valley Forge,United East
 Lancaster Bible,United East
 Bryn Athyn,United East
 Wilson,United East
 Cairn,United East
 Saint Elizabeth,United East
 Pratt,United East
 St. John Fisher,UVC
 Vassar,UVC
 NYU,UVC
 MIT,UVC
 Nazareth,UVC
 Hobart,UVC
 SUNY New Paltz,UVC
 Elmira,UVC
