"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"4473120","Southern California","Fort Valley St.","Galen Center (Los Angeles, CA)","01/05/2024 01:00 PM","169",25,25,25,NA,NA,12,17,12,NA,NA,""
"4473122","UC San Diego","Grand Canyon","Santa Barbara, CA","01/05/2024 06:00 PM","205",19,24,16,NA,NA,25,26,25,NA,NA,"at Santa Barbara, CA"
"4473124","Purdue Fort Wayne","Thomas More","Gates Sports Center (Fort Wayne, IN)","01/05/2024 06:00 PM","497",25,25,25,NA,NA,15,15,16,NA,NA,""
"4473126","Central St. (OH)","Lewis","College Station, PA","01/05/2024 07:00 PM","159",10,5,15,NA,NA,25,25,25,NA,NA,"at College Station, PA"
"4473123","UC Santa Barbara","George Mason","Santa Barbara, CA","01/05/2024 07:30 PM","374",15,18,26,25,15,25,25,24,21,10,""
"4473125","Pepperdine","Morehouse","Firestone Fieldhouse (Malibu, CA)","01/05/2024 09:00 PM","127",25,25,25,NA,NA,3,8,9,NA,NA,""
"4473127","BYU","Ball St.","Smith Fieldhouse (Provo, UT)","01/05/2024 09:00 PM","3242",25,25,25,NA,NA,19,21,20,NA,NA,""
"4473129","CSUN","NJIT","Santa Barbara, CA","01/05/2024 10:00 PM","79",20,25,25,25,NA,25,19,20,23,NA,"at Santa Barbara, CA"
"4473128","Hawaii","Loyola Chicago","SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)","01/06/2024 12:00 AM","5868",25,22,25,23,13,18,25,18,25,15,""
"4473130","Southern California","Morehouse","Galen Center (Los Angeles, CA)","01/06/2024 01:00 PM","269",25,25,25,NA,NA,9,14,12,NA,NA,""
"4473131","CSUN","George Mason","Santa Barbara, CA","01/06/2024 05:00 PM","194",26,18,30,22,NA,24,25,32,25,NA,"at Santa Barbara, CA"
"4473136","Penn St.","Lewis","University Park, PA","01/06/2024 07:00 PM","229",25,22,29,29,15,18,25,27,31,13,""
"4473134","Purdue Fort Wayne","North Greenville","Gates Sports Center (Fort Wayne, IN)","01/06/2024 07:00 PM","414",25,27,25,NA,NA,18,25,23,NA,NA,""
