#,P,S,MS,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE,match_id,team_name
30,L,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6300482,Wabash
22,MB,3,0,1,0,5,0.2,1,0,1,1,0,1,1,0,2.5,0,6300482,Wabash
11,S,1,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,6300482,Wabash
7,OH,3,0,6,4,17,0.118,1,1,1,3,1,0,1,0,7.5,0,6300482,Wabash
18,S,2,0,1,0,2,0.5,17,0,2,1,0,0,1,1,1.5,0,6300482,Wabash
26,MB,3,0,11,4,19,0.368,1,0,2,1,0,0,0,1,11,0,6300482,Wabash
10,OPP,3,0,2,0,2,1,0,0,3,0,0,0,1,0,2.5,0,6300482,Wabash
2,OH,3,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,6300482,Wabash
3,OH,3,0,8,4,15,0.267,0,0,2,6,3,0,0,1,8,0,6300482,Wabash
7,OPP,2,0,8,2,14,0.429,0,0,1,1,0,0,1,0,8.5,0,6300482,Ball St.
12,OH,1,0,4,0,5,0.8,0,0,2,0,0,0,0,1,4,0,6300482,Ball St.
3,OH,1,0,4,0,5,0.8,1,0,0,1,0,0,0,0,4,0,6300482,Ball St.
8,MB,2,0,2,0,2,1,0,1,0,0,0,0,1,1,3.5,0,6300482,Ball St.
1,L,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6300482,Ball St.
16,OPP,1,0,3,2,6,0.167,0,0,0,1,0,0,2,0,4,0,6300482,Ball St.
9,S,3,0,2,0,4,0.5,32,3,2,3,0,1,0,0,6,0,6300482,Ball St.
18,OH,2,0,5,1,9,0.444,0,2,0,1,0,0,1,0,7.5,0,6300482,Ball St.
21,MB,1,0,2,1,6,0.167,0,1,1,0,0,0,1,0,3.5,0,6300482,Ball St.
11,L,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6300482,Ball St.
13,MB,1,0,2,0,2,1,1,1,2,0,0,0,1,0,3.5,0,6300482,Ball St.
20,OH,2,0,5,1,9,0.444,1,2,3,4,0,0,1,0,7.5,0,6300482,Ball St.
19,MB,2,0,3,0,6,0.5,1,0,1,0,0,0,2,0,4,0,6300482,Ball St.
1,OH,3,0,13,1,21,0.571,1,0,2,2,2,0,3,0,14.5,0,6083804,BYU
6,L,4,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,6083804,BYU
19,MB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6083804,BYU
7,S,4,0,0,0,1,0,34,1,1,6,0,0,0,0,1,0,6083804,BYU
5,MB,3,0,2,1,4,0.25,0,0,1,0,0,0,3,0,3.5,0,6083804,BYU
23,OH,1,0,1,2,7,-0.143,0,1,2,1,1,0,0,0,2,0,6083804,BYU
21,OH,4,0,5,0,7,0.714,0,0,1,3,0,1,3,0,7.5,0,6083804,BYU
20,OH,4,0,14,3,29,0.379,0,5,3,3,1,0,1,0,19.5,0,6083804,BYU
10,OH,4,0,7,7,21,0,0,2,4,8,0,0,2,0,10,0,6083804,BYU
9,OH,3,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,6083804,BYU
7,OH,4,0,11,6,25,0.2,1,1,6,2,4,0,5,0,14.5,0,6083804,Ohio St.
5,S,4,0,1,1,4,0,37,1,5,6,0,0,0,0,2,0,6083804,Ohio St.
9,OH,4,0,10,3,18,0.389,2,0,3,2,5,0,2,0,11,0,6083804,Ohio St.
22,S,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6083804,Ohio St.
13,MB,4,0,4,4,11,0,0,0,1,3,0,0,5,0,6.5,0,6083804,Ohio St.
3,OH,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6083804,Ohio St.
1,L,4,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,6083804,Ohio St.
14,OH,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6083804,Ohio St.
17,OPP,4,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,6083804,Ohio St.
6,OPP,4,0,12,4,28,0.286,0,2,3,6,0,0,1,0,14.5,0,6083804,Ohio St.
18,MB,4,0,8,2,14,0.429,0,0,0,0,0,0,2,1,9,0,6083804,Ohio St.
6,L/DS,4,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,6083805,McKendree
4,OH,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6083805,McKendree
26,S,4,0,4,1,7,0.429,37,2,3,7,0,0,3,0,7.5,0,6083805,McKendree
12,OH,4,0,13,3,27,0.37,2,1,4,5,3,0,2,0,15,0,6083805,McKendree
