"Name","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Wabash",3,0,29,12,60,0.283,29,1,12,14,10,1,4,3,33,0,"6300482"
"Ball St.",3,0,40,7,68,0.485,36,10,12,14,1,1,10,2,56,0,"6300482"
"BYU",4,0,42,14,91,0.308,36,10,16,26,4,1,12,0,59,0,"6083804"
"Ohio St.",4,0,47,21,103,0.252,43,4,20,23,10,0,15,1,58.5,0,"6083804"
"McKendree",4,0,45,14,96,0.323,44,6,17,26,7,0,17,0,59.5,0,"6083805"
"Hawaii",4,0,57,19,105,0.362,55,7,18,30,6,2,11,0,71.5,0,"6083805"
"BYU",4,0,50,20,105,0.286,49,8,18,39,6,4,17,2,70.5,0,"6083807"
"Ohio St.",4,0,40,23,114,0.149,40,6,21,27,8,0,18,2,55,0,"6083807"
"UC Santa Cruz",4,0,42,26,102,0.157,41,3,10,33,13,1,12,0,52,0,"6300494"
"Menlo",4,0,46,18,110,0.255,42,13,12,28,3,4,22,0,74,0,"6300494"
"Trine",3,0,19,14,59,0.085,17,0,12,21,9,1,0,0,20,0,"6300483"
"Ball St.",3,0,39,8,70,0.443,33,9,12,21,0,0,9,1,52.5,0,"6300483"
"McKendree",3,0,32,14,73,0.247,31,2,9,20,5,0,9,0,38.5,0,"6083809"
"Hawaii",3,0,47,9,82,0.463,45,5,12,25,2,0,9,1,56.5,0,"6083809"
"Catawba",3,0,18,15,60,0.05,18,3,14,17,6,5,2,1,27,0,"6083811"
"Charleston (WV)",3,0,38,13,71,0.352,37,6,19,25,3,3,12,0,53,0,"6083811"
"McKendree",3,0,31,14,84,0.202,29,2,15,28,6,2,4,1,37,0,"6083810"
"UC San Diego",3,0,39,13,87,0.299,35,6,18,33,2,2,13,0,53.5,0,"6083810"
"Roberts Wesleyan",3,0,32,12,73,0.274,30,4,18,26,3,0,11,3,41.5,0,"6083813"
"Central St. (OH)",3,0,25,18,77,0.091,22,3,19,26,4,0,19,5,37.5,2,"6083813"
"Catawba",4,0,62,29,136,0.243,58,6,23,41,2,3,17,0,79.5,0,"6083817"
"King (TN)",4,0,36,20,103,0.155,35,2,10,34,6,2,21,0,50.5,0,"6083817"
"Saint Francis",3,0,29,15,65,0.215,27,5,14,15,12,0,7,0,37.5,0,"6083814"
"UC San Diego",3,0,32,7,57,0.439,31,12,13,15,5,1,13,0,51.5,0,"6083814"
"Merrimack",4,0,43,27,108,0.148,42,6,24,34,5,2,11,1,56.5,0,"6083816"
"CUI",4,0,39,11,90,0.311,35,5,19,28,6,4,17,5,56.5,0,"6083816"
"Harvard",3,0,30,19,85,0.129,29,4,12,26,5,0,6,2,37,0,"6083815"
"Hawaii",3,0,39,7,80,0.4,37,5,14,21,4,1,21,0,55.5,0,"6083815"
"Roberts Wesleyan",4,0,46,20,112,0.232,41,7,23,35,5,5,10,0,63,1,"6083818"
"Thomas More",4,0,34,29,106,0.047,32,5,11,34,7,4,6,0,46,1,"6083818"
"Missouri S&T",3,0,39,18,87,0.241,39,3,14,33,3,2,4,0,46,1,"6083819"
"UC Santa Barbara",3,0,45,13,93,0.344,44,3,19,23,3,4,11,2,57.5,0,"6083819"
"Lincoln Memorial",4,0,45,9,99,0.364,43,4,16,36,2,2,22,0,62,0,"6083825"
"North Greenville",4,0,41,25,117,0.137,41,2,17,36,4,2,0,0,45,0,"6083825"
"Erskine",5,0,70,21,152,0.322,65,2,27,51,5,2,15,2,81.5,0,"6083821"
"Barry",5,0,46,29,133,0.128,40,5,11,46,2,0,15,2,58.5,0,"6083821"
"Tusculum",3,0,23,12,58,0.19,22,1,9,9,10,3,12,3,33,0,"6083820"
"CSUN",3,0,43,14,72,0.403,40,10,13,20,1,0,12,2,59,1,"6083820"
"Menlo",3,0,20,17,62,0.048,18,4,9,16,14,1,2,2,26,0,"6083826"
"UC Irvine",3,0,32,7,58,0.431,28,14,14,19,4,1,14,1,54,0,"6083826"
"Daemen",4,0,43,25,107,0.168,40,5,18,32,4,1,10,3,54,2,"6083822"
"Southern California",4,0,44,13,98,0.316,40,4,18,31,5,1,24,5,61,0,"6083822"
"Merrimack",3,0,37,16,78,0.269,36,2,13,24,3,0,12,1,45,0,"6083824"
"Vanguard",3,0,41,10,79,0.392,38,3,18,20,2,1,12,1,51,0,"6083824"
"Lincoln Memorial",4,0,45,18,101,0.267,42,6,16,42,7,2,10,4,58,0,"6083840"
"Belmont Abbey",4,0,35,33,126,0.016,34,7,14,33,6,4,6,3,49,0,"6083840"
"Fort Valley St.",3,0,33,15,87,0.207,23,3,13,29,4,1,2,0,38,0,"6083833"
"Ohio St.",3,0,42,9,85,0.388,40,4,21,29,3,1,6,0,50,0,"6083833"
"Tusculum",3,0,21,12,56,0.161,21,0,12,17,13,0,0,0,21,0,"6083827"
"UC Irvine",3,0,37,6,65,0.477,34,13,13,20,0,1,6,1,54,0,"6083827"
"Saint Francis",3,0,29,16,67,0.194,28,4,20,26,5,0,2,4,34,0,"6083843"
"UCLA",3,0,32,3,63,0.46,28,5,18,21,4,1,12,1,44,0,"6083843"
"Grand Canyon",4,0,52,16,114,0.316,46,4,11,44,2,2,22,0,69,1,"6083841"
"NJIT",4,0,58,23,142,0.246,54,2,20,43,4,2,13,1,68.5,1,"6083841"
"Central St. (OH)",4,0,42,23,106,0.179,42,4,21,34,10,1,16,3,55,0,"6083837"
"Purdue Fort Wayne",4,0,42,14,96,0.292,41,10,16,38,4,2,16,2,62,0,"6083837"
"Maryville (MO)",3,0,40,18,102,0.216,38,3,10,33,4,0,2,0,44,0,"6083839"
"Lewis",3,0,43,9,87,0.391,41,4,11,31,3,0,15,0,54.5,0,"6083839"
"Rockhurst",3,0,31,11,77,0.26,30,1,11,27,4,3,0,1,35,0,"6083830"
"Lindenwood",3,0,49,12,96,0.385,44,4,19,31,1,5,2,0,59,0,"6083830"
"Barton",3,0,27,15,95,0.126,22,7,14,31,8,2,18,2,45,0,"6083832"
"Barry",3,0,37,22,95,0.158,37,8,11,44,7,1,19,0,55.5,0,"6083832"
"Menlo",4,0,34,13,93,0.226,32,3,12,26,6,0,10,0,42,0,"6083829"
"UC Santa Barbara",4,0,65,14,111,0.459,55,6,22,36,3,0,9,2,75.5,0,"6083829"
"Penn St.",4,0,39,16,89,0.258,36,3,24,30,9,2,21,2,54.5,0,"6083835"
"Loyola Chicago",4,0,48,20,105,0.267,41,9,21,28,3,1,15,0,65.5,0,"6083835"
"St. Thomas Aquinas",3,0,18,13,63,0.079,15,1,10,18,10,3,4,1,24,0,"6083838"
"BYU",3,0,41,12,77,0.377,36,10,15,28,1,0,6,2,54,0,"6083838"
"Ball St.",3,0,42,5,90,0.411,39,4,10,25,5,1,11,4,52.5,0,"6083831"
"Stanford",3,0,42,18,93,0.258,41,5,12,34,4,0,2,1,48,0,"6083831"
"Saint Francis",3,0,22,22,69,0,21,1,13,4,5,0,2,4,24,1,"6311863"
"Long Beach St.",3,0,34,5,46,0.63,32,5,10,19,1,2,21,2,51.5,0,"6311863"
"Missouri S&T",3,0,29,14,75,0.2,28,1,15,15,4,2,2,1,33,0,"6083844"
"CSUN",3,0,42,9,69,0.478,42,4,18,26,1,1,10,1,52,0,"6083844"
"Daemen",3,0,24,19,65,0.077,23,3,20,17,5,2,0,0,29,0,"6083834"
"UC San Diego",3,0,29,6,53,0.434,27,5,19,17,3,2,11,2,41.5,0,"6083834"
"Harvard",5,0,51,22,118,0.246,49,8,19,32,8,1,9,1,64.5,0,"6083836"
"Hawaii",5,0,62,17,114,0.395,56,8,22,32,8,3,25,3,85.5,0,"6083836"
"Fort Valley St.",3,0,21,15,65,0.092,19,2,8,12,7,2,5,0,27.5,0,"6083849"
"Ohio St.",3,0,42,10,67,0.478,39,7,14,21,2,1,10,0,55,0,"6083849"
"Barton",3,0,31,24,109,0.064,29,6,13,39,2,0,22,0,48,0,"6083847"
"Barry",3,0,40,26,115,0.122,39,2,7,46,6,1,18,1,52,0,"6083847"
"Menlo",4,0,46,25,107,0.196,46,6,13,33,3,3,10,1,60,0,"6083846"
"CSUN",4,0,58,15,110,0.391,51,3,23,25,6,2,32,4,79,0,"6083846"
"Erskine",3,0,38,11,75,0.36,37,8,12,29,3,3,10,0,54,0,"6083851"
"Edward Waters",3,0,29,17,77,0.156,27,3,12,22,8,1,2,5,34,0,"6083851"
"Charleston (WV)",4,0,45,28,110,0.155,39,2,13,39,4,1,2,2,49,0,"6083850"
