"Name","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Alas. Anchorage",3,26,14,102,0.118,22,3,7,41,73,7,4,6,3,36,0,"5667110"
"Chaminade",3,50,22,122,0.23,44,7,5,55,53,3,2,4,1,61,0,"5667110"
"Alas. Anchorage",4,46,15,108,0.287,44,8,8,46,59,8,0,8,0,58,0,"5667112"
"Hawaii Pacific",4,32,20,110,0.109,31,8,8,37,80,8,0,11,4,45.5,1,"5667112"
"Alas. Fairbanks",4,48,22,133,0.195,39,7,10,47,88,7,1,8,5,60,0,"5667111"
"Chaminade",4,56,13,124,0.347,49,7,6,55,65,7,1,12,1,70,0,"5667111"
"Hawaii Hilo",5,58,32,160,0.163,50,5,5,74,99,9,1,10,1,69,0,"5667445"
"Alas. Fairbanks",5,61,26,168,0.208,51,9,10,62,94,5,0,14,1,77,0,"5667445"
"Hawaii Hilo",5,59,23,145,0.248,53,16,7,59,98,11,2,8,4,81,1,"5667369"
"Alas. Anchorage",5,58,23,151,0.232,50,11,5,58,99,16,0,8,4,73,0,"5667369"
"Saint Michael's",3,39,10,98,0.296,35,7,13,49,48,7,1,6,1,50,0,"5668016"
"Plattsburgh St.",3,24,15,91,0.099,21,7,10,42,60,7,1,6,1,35,0,"5668016"
"Alas. Fairbanks",3,41,14,90,0.3,34,9,7,30,50,4,2,10,0,57,0,"5667836"
"Hawaii Pacific",3,29,19,89,0.112,26,4,5,27,67,9,1,6,2,37,0,"5667836"
"Kentucky St.",4,30,18,119,0.101,27,4,7,45,89,12,0,4,1,36,0,"5668234"
"Asbury",4,48,23,124,0.202,46,12,6,61,65,4,1,4,0,63,1,"5668234"
"Miles",4,30,32,133,-0.015,23,4,4,68,82,14,5,4,7,41,2,"5722145"
"Stillman",4,37,28,149,0.06,35,14,10,61,73,4,3,6,8,57,0,"5722145"
"West Ala.",3,21,21,108,0,21,3,9,43,71,8,2,8,0,30,1,"5668296"
"UVA Wise",3,31,16,95,0.158,31,8,3,60,36,3,0,8,1,43,0,"5668296"
"St. Cloud St.",3,45,17,116,0.241,41,1,8,44,70,6,1,8,0,51,0,"5668299"
"Cal Poly Pomona",3,39,9,106,0.283,36,6,4,39,52,1,0,22,0,56,0,"5668299"
"Lynn",4,58,17,135,0.304,55,10,11,60,65,9,0,4,0,70,0,"5668302"
"Southern N.H.",4,39,16,133,0.173,37,9,13,50,87,10,1,6,1,52,0,"5668302"
"Cal Poly Humboldt",4,48,31,131,0.13,42,6,4,51,75,7,1,12,3,61,0,"5668295"
"Western Ore.",4,47,23,127,0.189,43,7,15,44,90,6,3,12,3,63,0,"5668295"
"West Ala.",3,29,24,99,0.051,28,3,7,37,69,9,0,10,1,37,0,"5668305"
"King (TN)",3,34,11,84,0.274,30,9,5,42,42,3,3,6,0,49,0,"5668305"
"West Virginia St.",4,48,26,127,0.173,46,9,8,41,83,4,1,18,3,67,0,"5668309"
"Tex. A&M Int'l",4,54,25,134,0.216,52,4,10,47,86,9,2,12,3,66,0,"5668309"
"Northwest Mo. St.",3,49,16,127,0.26,48,4,6,60,68,7,0,6,2,56,0,"5668307"
"Northern St.",3,44,7,122,0.303,43,7,5,54,62,4,5,4,4,58,0,"5668307"
"Washburn",5,79,26,197,0.269,74,10,7,90,93,6,2,18,2,100,0,"5668311"
"Sioux Falls",5,57,22,184,0.19,55,6,4,74,108,10,4,14,0,74,0,"5668311"
"Biola",4,32,23,117,0.077,29,3,14,48,70,6,2,10,0,42,0,"5668301"
"Cal State LA",4,45,19,127,0.205,42,6,20,49,67,3,1,8,0,56,0,"5668301"
"Brewton-Parker",3,36,13,103,0.223,33,7,5,58,0,4,0,4,1,45,0,"5668335"
"Claflin",3,20,25,108,-0.046,19,4,2,47,0,7,2,0,1,26,0,"5668335"
"King (TN)",3,41,20,143,0.147,38,2,5,65,68,4,1,16,1,52,1,"5668322"
"UVA Wise",3,43,20,142,0.162,42,4,6,66,66,2,2,4,5,51,0,"5668322"
"Tusculum",3,25,22,126,0.024,21,3,3,64,63,10,1,10,1,34,0,"5668340"
"Lander",3,39,18,135,0.156,35,10,10,69,56,3,3,10,1,57,1,"5668340"
"Wayne St. (NE)",3,38,10,95,0.295,33,7,1,54,31,1,1,10,0,51,0,"5668352"
"Adelphi",3,31,15,102,0.157,30,1,14,43,72,7,0,10,0,37,0,"5668352"
"Wis.-Parkside",4,47,23,168,0.143,42,13,11,81,69,6,3,10,3,68,0,"5668317"
"Truman St.",4,39,23,152,0.105,34,6,12,73,87,13,1,10,5,51,0,"5668317"
"Allen",5,42,20,119,0.185,40,5,7,47,67,11,5,0,11,52,0,"5697072"
"Clinton",5,50,20,98,0.306,44,10,9,72,79,9,0,13,13,66.5,0,"5697072"
