match_id,home,away,site,match_date,attendance,home_set1,home_set2,home_set3,home_set4,home_set5,away_set1,away_set2,away_set3,away_set4,away_set5,neutral_site
5697417,Carlow,Fla. National,"Monaca, Pa.",8/30/2024 0:00,123,11,16,12,NA,NA,25,25,25,NA,NA,"at Monaca, Pa."
5667115,Centre,Whittier,"Sports Science Athletic Pavilion (La Verne, CA)",8/30/2024 10:00,87,13,26,25,19,15,25,24,19,25,12,"at La Verne, CA"
5667125,St. Thomas (TX),Hendrix,"Jerabeck Activity and Athletic Center (Houston, TX)",8/30/2024 11:00,150,25,25,25,NA,NA,15,20,10,NA,NA,
5667143,Regis (MA),Fisher,"Regis Athletic Complex (Weston, MA)",8/30/2024 11:00,75,25,25,25,NA,NA,14,16,9,NA,NA,
5667149,St. Mary-Woods,Franklin,",",8/30/2024 11:00,100,33,25,25,NA,NA,31,14,19,NA,NA,
5667158,Hanover,Randolph-Macon,"Cooper Athletic Center, Randy Lambert Court (Maryville, TN)",8/30/2024 11:00,55,25,25,20,25,NA,19,23,25,22,NA,"at Maryville, TN"
5681204,Simmons,Emerson,"Holmes Sports Center (Boston, MA)",8/30/2024 11:00,107,23,14,18,NA,NA,25,25,25,NA,NA,
5667162,Buffalo St.,Rowan,"Coliseo Mario Morales (Guaynabo, PR)",8/30/2024 11:30,125,25,18,21,23,NA,15,25,25,25,NA,"at Guaynabo, PR"
5667152,Lawrence,Carleton,"Ratner Athletics Center (Chicago, IL)",8/30/2024 12:00,50,15,21,22,NA,NA,25,25,25,NA,NA,"at Chicago, IL"
5667169,New Jersey City,John Jay,"John J. Moore Athletics & Fitness Center (Jersey City, NJ)",8/30/2024 12:00,59,14,16,25,NA,NA,25,25,27,NA,NA,
5667181,Penn St.-Gr Allegheny,Carlow,"Monaca, PA",8/30/2024 12:00,110,26,18,25,25,NA,28,25,17,27,NA,"at Monaca, PA"
5667176,Guilford,Methodist,"E. Stuart James Grant Center (Danville, VA)",8/30/2024 12:00,150,22,18,14,NA,NA,25,25,25,NA,NA,"at Danville, VA"
5667177,Lynchburg,Meredith,"E. Stuart James Grant Center (Danville, VA)",8/30/2024 12:00,100,25,23,20,25,15,23,25,25,17,10,"at Danville, VA"
5667161,Cortland,Texas Lutheran,"Bell Center (San Antonio, TX)",8/30/2024 12:15,0,25,30,25,NA,NA,21,28,23,NA,NA,"at San Antonio, TX"
5667123,Whitman,Redlands,"Sherwood Center (Walla Walla, WA)",8/30/2024 13:00,250,18,13,23,NA,NA,25,25,25,NA,NA,
5667175,Gustavus Adolphus,Wis.-Oshkosh,"El Pomar Sports Center (Colorado Springs, CO)",8/30/2024 13:00,123,27,25,18,25,NA,25,16,25,17,NA,"at Colorado Springs, CO"
5667180,McMurry,Wis.-Superior,"Maher Athletic Center (Irving, TX)",8/30/2024 13:00,111,27,19,17,25,12,25,25,25,18,15,"at Irving, TX"
