Name,S,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RetAtt,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE,match_id
Fla. National,3,34,15,90,0.211,31,10,5,50,34,2,3,10,0,52,0,5697417
Carlow,3,17,22,97,-0.052,17,2,7,39,68,10,1,12,0,26,0,5697417
Whittier,5,42,21,156,0.135,39,11,9,72,82,9,2,18,1,64,0,5667115
Centre,5,55,36,174,0.109,51,9,15,83,97,11,2,6,1,69,0,5667115
Hendrix,3,26,20,107,0.056,25,2,4,42,66,6,0,4,0,30,4,5667125
St. Thomas (TX),3,40,8,97,0.33,34,6,7,49,43,2,0,10,0,51,0,5667125
Fisher,3,14,16,96,-0.021,14,3,7,44,68,9,0,2,2,18,0,5667143
Regis (MA),3,42,16,107,0.243,41,9,5,59,34,3,1,4,1,54,0,5667143
Franklin,3,34,20,108,0.13,33,5,9,54,65,6,3,4,1,46,0,5667149
St. Mary-Woods,3,41,15,112,0.232,40,6,9,45,45,5,0,6,0,52,0,5667149
Randolph-Macon,4,46,27,167,0.114,43,11,9,77,84,9,2,10,1,64,0,5667158
Hanover,4,50,21,158,0.184,47,9,10,84,81,11,4,8,0,67,0,5667158
Emerson,3,34,12,93,0.237,33,11,12,38,53,5,1,12,0,52,0,5681204
Simmons,3,25,22,93,0.032,23,5,4,44,61,11,1,2,2,32,0,5681204
Rowan,4,50,18,164,0.195,47,7,6,68,81,7,1,4,0,60,2,5667162
Buffalo St.,4,54,25,157,0.185,50,7,7,81,83,7,1,14,1,69,0,5667162
Carleton,3,29,21,91,0.088,28,14,5,45,49,3,0,12,1,49,2,5667152
Lawrence,3,26,20,102,0.059,26,3,10,31,69,14,1,8,2,34,1,5667152
John Jay,3,40,16,99,0.242,35,11,12,42,51,8,1,2,0,53,0,5667169
New Jersey City,3,18,17,82,0.012,18,8,6,41,63,11,1,4,1,29,1,5667169
Carlow,4,51,38,188,0.069,48,11,13,87,91,3,1,8,0,67,1,5667181
Penn St.-Gr Allegheny,4,37,28,159,0.057,30,3,4,89,83,11,5,14,0,52,0,5667181
Methodist,3,39,14,95,0.263,39,8,5,47,47,5,1,4,1,50,0,5667176
Guilford,3,30,20,104,0.096,25,5,8,36,69,8,1,14,0,43,0,5667176
Meredith,5,58,29,194,0.149,53,4,14,84,93,4,1,14,1,70,0,5667177
Lynchburg,5,58,21,170,0.218,58,4,15,92,86,4,1,10,0,68,0,5667177
